,Household_ID,N_catg1,N_catg2,N_catg3,N_catg4,N_catg5,N_catg6,N_catg7,N_catg8,N_catg9,N_catg10,N_catg11,N_catg12,N_catg13,N_catg14,N_catg15,E_catg1,E_catg2,E_catg3,E_catg4,E_catg5,E_catg6,E_catg7,E_catg8,E_catg9,E_catg10,E_catg11,E_catg12,E_catg13,E_catg14,E_catg15,Household_Income,Age_Household_Head,Number_Of_Kids,Total_Number_Of_Transactions,Number_Of_Online_Purchase,Number_Of_Stores_Visited,Number_Of_Returns,Number_Of_Different_Categories
105,100248854,0,0,0,0,0,0,0,0,0,1,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,99.95,0,4254.95,204.98,0,1,44,0,2,0,2,1,4
106,100249559,3,0,0,0,0,0,0,0,0,0,2,3,2,4,0,329.97,0,0,0,0,0,0,0,0,0,44.98,1049.97,209.94,362.94,0,4,46,0,2,0,2,0,5
107,100254877,2,0,0,0,5,0,3,0,0,0,3,1,0,0,0,14.99,0,0,0,307.94,0,487.57,0,0,0,299.97,299.99,0,0,0,6,60,1,2,0,2,2,5
108,100262709,5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,316.94,0,0,0,8.99,0,0,0,0,0,24.99,0,0,8.99,0,9,48,2,1,0,1,5,4
109,100263955,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,30.98,129.99,119.95,0,0,5,42,0,1,0,1,2,3
110,100265231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.99,0,0,0,0,8,38,0,1,0,1,0,1
111,100266348,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,99.99,0,0,0,119.99,0,0,0,0,0,0,929.98,0,122.96,0,5,32,1,2,0,2,0,4
112,100268092,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,199.99,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,30,0,1,0,1,0,2
113,100269362,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,399.99,0,0,0,99.99,0,0,0,0,0,0,NA,NA,0,1,0,1,0,2
114,100275292,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,24.99,0,0,0,0,0,74.98,289.78,0,0,0,0,0,0,0,NA,NA,0,1,0,1,0,3
115,100275515,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.97,0,0,0,0,6,54,0,1,0,1,0,1
116,100275670,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,289.95,0,0,0,0,0,399.99,99.98,0.02,0,0,0,0,0,9,50,0,1,0,1,0,4
117,100275757,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,149.99,0,0,0,129.99,0,0,NA,NA,0,1,0,1,0,2
118,100276614,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.99,0,NA,NA,0,1,0,1,0,1
119,100279007,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,49.98,1439.96,0,0,0,1,26,0,1,0,1,4,2
120,100281218,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,0,0,0,0,7,NA,1,1,0,1,0,1
121,100281706,0,0,0,0,3,0,1,5,0,1,1,0,0,1,0,0,0,0,0,239.97,0,15,37.98,0,-15,-149.99,0,0,13.98,0,1,26,0,1,0,1,28,6
122,100285520,6,0,0,1,0,0,0,4,0,1,3,8,1,0,2,572.91,0,0,400,0,0,0,169.98,0,0,119.96,3654.88,83.99,0,290.01,6,78,0,1,0,1,4,8
123,100285755,0,0,0,0,0,0,0,7,1,1,2,0,0,0,2,0,0,0,0,0,0,0,1864.89,29.99,15,0,0,0,0,209.98,6,50,1,3,0,3,6,5
124,100288147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,0,1,0,1,0,1
125,100289665,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,35.98,0,0,0,0,0,0,0,143.36,0,0,0,0,0,0,NA,NA,0,1,0,1,0,2
